"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","SalaryHikePerYear","AverageYearsCompany","AgeToJubilation","DifferentManagers"
41,"Yes","Travel_Rarely",1102,"Sales","1","College","Life Sciences","Medium","Female",94,"High","Junior","Sales Executive","Very High","Single",5993,19479,9,"Yes",11,"Excellent","Low","No",8,0,"Bad",6,4,0,5,1.83333333333333,0.888888888888889,25,"Yes"
49,"No","Travel_Frequently",279,"Research & Development","3","Below College","Life Sciences","High","Male",61,"Medium","Junior","Research Sci.","Medium","Married",5130,24907,2,"No",23,"Outstanding","Very High","Few",10,3,"Better",10,7,1,7,2.3,5,17,"Yes"
37,"Yes","Travel_Rarely",1373,"Research & Development","1","College","Other","Very High","Male",92,"Medium","Intern","Lab. Tech.","High","Single",2090,2396,7,"Yes",15,"Excellent","Medium","No",7,3,"Better",0,0,0,0,30,1,29,"No"
33,"No","Travel_Frequently",1392,"Research & Development","2","Master","Life Sciences","Very High","Female",56,"High","Intern","Research Sci.","High","Married",2909,23159,2,"Yes",11,"Excellent","High","No",8,3,"Better",8,7,3,0,1.375,4,33,"Yes"
27,"No","Travel_Rarely",591,"Research & Development","1","Below College","Medical","Low","Male",40,"High","Intern","Lab. Tech.","Medium","Married",3468,16632,10,"No",12,"Excellent","Very High","Few",6,3,"Better",2,2,2,2,6,0.6,39,"No"
32,"No","Travel_Frequently",1005,"Research & Development","1","College","Life Sciences","Very High","Male",79,"High","Intern","Lab. Tech.","Very High","Single",3068,11864,1,"No",13,"Excellent","High","No",8,2,"Good",7,7,3,6,1.85714285714286,8,34,"Yes"
59,"No","Travel_Rarely",1324,"Research & Development","2","Bachelor","Medical","High","Female",81,"Very High","Intern","Lab. Tech.","Low","Married",2670,9964,5,"Yes",20,"Outstanding","Low","High",12,3,"Good",1,0,0,0,20,2.4,7,"Yes"
30,"No","Travel_Rarely",1358,"Research & Development","6","Below College","Life Sciences","Very High","Male",67,"High","Intern","Lab. Tech.","High","Divorced",2693,13335,2,"No",22,"Outstanding","Medium","Few",1,2,"Better",1,0,0,0,22,0.5,36,"Yes"
38,"No","Travel_Frequently",216,"Research & Development","6","Bachelor","Life Sciences","Very High","Male",44,"Medium","Senior","Directors","High","Single",9526,8787,1,"No",21,"Outstanding","Medium","No",10,2,"Better",9,7,1,8,2.33333333333333,10,28,"Yes"
36,"No","Travel_Rarely",1299,"Research & Development","6","Bachelor","Medical","High","Male",94,"High","Junior","Representatives","High","Married",5237,16577,7,"No",13,"Excellent","Medium","Medium",17,3,"Good",7,7,7,7,1.85714285714286,2.42857142857143,30,"No"
35,"No","Travel_Rarely",809,"Research & Development","5","Bachelor","Medical","Low","Male",84,"Very High","Intern","Lab. Tech.","Medium","Married",2426,16479,1,"No",13,"Excellent","High","Few",6,5,"Better",5,4,0,3,2.6,6,31,"Yes"
